fixture_id,date_jst,home_team,away_team,commentator,announcer,report_link
1379254,2026-03-04,Leeds,Sunderland,粕谷秀樹,桑原学,
1379258,2026-03-04,Wolves,Liverpool,岩政大樹,野村明弘,
1379249,2026-03-05,Aston Villa,Chelsea,増嶋竜也,安井成行,
1379251,2026-03-05,Brighton,Arsenal,林陵平,西岡明彦,/reports/2026-03-04_Brighton_vs_Arsenal_20260310_225720.html
1379255,2026-03-05,Manchester City,Nottingham Forest,南雄太,倉敷保雄,
1379256,2026-03-05,Newcastle,Manchester United,坪井慶介,下田恒幸,
1379257,2026-03-06,Tottenham,Crystal Palace,ベン・メイブリー,瀬崎一耀,
1379267,2026-03-15,Sunderland,Brighton,ベン・メイブリー,安井成行,
1379259,2026-03-15,Arsenal,Everton,増嶋竜也,瀬崎一耀,
1379262,2026-03-15,Chelsea,Newcastle,岩政大樹,桑原学,
1379268,2026-03-15,West Ham,Manchester City,粕谷秀樹,野村明弘,
1379263,2026-03-15,Crystal Palace,Leeds,中村俊輔,横内洋樹,
1379265,2026-03-15,Manchester United,Aston Villa,ベン・メイブリー,西岡明彦,
1379264,2026-03-16,Liverpool,Tottenham,田中裕介,倉敷保雄,
