fixture_id,date_jst,home_team,away_team,commentator,announcer
1379214,2026-02-07,Leeds,Nottingham Forest,坪井慶介,安井成行
1379216,2026-02-07,Manchester United,Tottenham,水沼貴史,西岡明彦
1379201,2026-02-08,Arsenal,Sunderland,林陵平,藤田崇寛
1379213,2026-02-08,Brighton,Crystal Palace,ベン・メイブリー,下田恒幸
1379217,2026-02-09,Liverpool,Manchester City,戸田和幸,野村明弘
1379221,2026-02-11,Chelsea,Leeds,戸田和幸,下田恒幸
1379227,2026-02-11,Tottenham,Newcastle,坪井慶介,野村明弘
1379228,2026-02-11,West Ham,Manchester United,ベン・メイブリー,倉敷保雄
1379219,2026-02-12,Aston Villa,Brighton,粕谷秀樹,小林悠希
1379224,2026-02-12,Manchester City,Fulham,増嶋竜也,安井成行
1379226,2026-02-12,Sunderland,Liverpool,林陵平,桑原学
1379220,2026-02-13,Brentford,Arsenal,田中裕介,西岡明彦
